en,es
"After supper, I always find myself falling asleep.","Después de comer, siempre me da sueño."
I really appreciate you saying that.,Verdaderamente aprecio que lo digas tú.
There's something we need to talk about.,Hay algo de lo que tenemos que hablar.
I need to stay here tonight.,Necesito quedarme aquí esta noche.
You must try this.,Tienes que probarlo.
She will come back before long.,Ella volverá dentro de poco.
My name is Tom.,Me llamo Tom.
I can't speak French very well.,No hablo muy bien el francés.
"If I don't do it now, I never will.","Si no lo hago ahora, nunca lo haré."
Sea otters love to eat clams while swimming on their backs.,A las nutrias marinas les encanta comer almejas mientras nadan de espaldas.
Tom said nothing about Mary's black eye.,Tom no dijo nada acerca del ojo morado de Mary.
"Last year, there was a bad harvest.",El año pasado hubo una mala cosecha.
Europe has a smaller population than Asia.,La población de Europa es menor que la de Asia.
The traffic was heavy so I was late for the meeting.,El tráfico estaba tan congestionado que me retrasé para la reunión.
"Put it down, Tom.","Bájalo, Tom."
The side of the house was covered with ivy.,El lateral de la casa fue cubierto con hiedra.
My French isn't good enough to explain the problem.,Mi francés no es lo suficientemente bueno para explicar el problema.
"Hello, is anybody there?","Hola, ¿hay alguien ahí?"
You didn't hear this from me.,No oíste esto de mi parte.
I guess I'm not as smart as you.,Imagino que no soy tan lista como tú.
What should we do?,¿Qué deberíamos hacer?
Tom said that he thought that Mary was with John.,Tom dijo que pensaba que Mary estaba con John.
"Did you know that in Japan, if you have a tattoo, you won't be allowed to bathe in many of the hot spring resorts?","¿Sabías que en Japón, si llevas un tatuaje, no te permitirán que te bañes en muchos de los balnearios de aguas termales?"
"Fortunately, the weather was good and we were able to eat outside.","Afortunadamente, el tiempo era bueno y pudimos comer fuera."
Let's start as soon as he comes.,Comencemos apenas él venga.
I need an assistant.,Necesito una asistente.
He wondered why she did that.,Él se preguntaba por qué ella hizo eso.
We've got to stick to the facts.,Tenemos que ceñirnos a los hechos.
You're the only one who volunteered to help.,Usted es la única que se presentó voluntaria para ayudar.
Neither Tom nor Mary can sing very well.,"Ni Tom, ni María pueden cantar muy bien."
Mary divorced her husband and married Tom.,Mary se divorció de su marido y se casó con Tom.
I don't know why they are fighting.,No sé por qué se están peleando.
I need to know everything that happened.,Necesito saber todo lo que sucedió.
The gun went off by accident.,El arma se disparó accidentalmente.
Tom wants me to join his team.,Tom quiere que me una a su equipo.
I'm afraid we won't be able to help you tomorrow.,Me temo que no podremos ayudarte mañana.
Tom spread some strawberry jam on a slice of bread.,Tom untó un poco de mermelada de fresa sobre una rebanada de pan.
"I'm not rich, nor do I wish to be.","No soy rico, ni deseo serlo."
Can I use your dictionary for a minute?,¿Puedo usar un poco tu diccionario?
Tom thought nobody was home.,Tomás pensó que no había nadie en su casa.
Tom was going in that direction.,Toma iba en esa dirección.
Tom is single and has never been married.,Tom es soltero y nunca ha estado casado.
I've got time.,Tengo tiempo.
You'll have some difficulty in carrying out the plan.,Tendrás dificultades al ejecutar el plan.
Tom likes action movies.,A Tom le gustan las películas de acción.
Do you want some dessert?,¿Quiere algo de postre?
We buy eggs by the dozen.,Compramos huevos por docenas.
We share the housework.,Nos repartimos las tareas del hogar.
Whose guitar is this?,¿De quién es esta guitarra?
We talked about the question over a cup of coffee.,Nosotros discutimos acerca de la pregunta sobre una taza de café.
Tom bowed.,Tom se inclinó.
Tom got into bed.,Tom se metió en la cama.
Tom is happy again.,Tom es feliz otra vez.
I speak very fast.,Hablo muy rápido.
Do you hear someone moving around in the next room?,¿Escuchas a alguien dando vueltas en la habitación del lado?
Tom dyed his hair dark brown.,Tom se tiñó el pelo castaño oscuro.
You'll be allowed to go out soon.,Pronto te podrás ir.
He is always complaining about his low salary.,Él siempre está quejándose de su bajo salario.
Tom wrote to Mary.,Tomás le escribió a María.
Tom almost got hit by the ball.,Tom casi fué golpeado por el balón.
The issue seemed easy at first glance.,"A primera vista, la cuestión parecía fácil."
Speak a little louder.,Hable un poco más alto.
Are you sure that you know me?,¿Está seguro de que me conoce?
It belonged to my father.,Perteneció a mi padre.
Tom still loves Mary.,Tom aún ama a Mary.
He earns three times more than me.,Él gana tres veces más que yo.
Don't make me answer that question.,No me hagas responder esa pregunta.
There are some magazines in my room.,Hay algunas revistas en mi habitación.
He is so heartless.,Él es tan desalmado.
Do you have everything?,¿Traes todo?
I will arrive in four hours.,Llegaré en cuatro horas.
She intends to play tennis.,Ella pretende jugar al tenis.
The product is guaranteed to be free from defects.,Garantizan que el producto se halla libre de defectos.
Why don't you just call for help?,¿Por qué no pides ayuda simplemente?
Tom was uninterested.,Tom no estaba interesado.
I think my plan is better than yours.,Creo que mi plan es mejor que el tuyo.
I haven't given them to Tom yet.,Yo no se los he dado a Tom todavía.
I'm in love with you.,Estoy enamorada de ti.
Tom failed.,Tom reprobó.
We still don't really know.,Aún no sabemos realmente.
He likes tea.,Le gusta el té.
I haven't made a decision yet.,No me he decidido todavía.
Tom saw where Mary lives.,Tom vio donde vive Mary.
We tidied up our classroom after school.,Ordenamos nuestra aula después de la escuela.
I am not accustomed to speaking in public.,No estoy acostumbrada a hablar en público.
This hall was full of people.,Esta sala estaba llena de gente.
You can eat as much as you like.,Puedes comer cuanto quieras.
Glass is made from sand.,El vidrio se hace a partir de arena.
"In October, the leaves begin to fall.","En octubre, las hojas comienzan a caer."
He is a sharp-shooter.,Él es un tirador agudo.
What will become of the children after his death?,¿Qué será de los niños después de su muerte?
I'd prefer that black one over there.,Preferiría aquella negra de allí.
The school is located within five minutes' walk of the station.,El colegio queda a cinco minutos a pie desde la estación.
"Turn on the light, please.","Enciende la luz, por favor."
I'm not ready.,No estoy listo.
Why don't you take your temperature?,¿Y si te tomas la temperatura?
He acted fairly toward me.,Él actuó justamente hacia mi.
This is a big house.,Es una casa grande.
They told me to stay in the car.,Me dijeron que permaneciera en el coche.
How long ago did the bus leave?,¿Hace cuánto se fue el bus?
I want to be a lawyer.,Quiero ser abogado.
I like milk.,Me gusta la leche.
He lingered in the classroom after school was over.,Él se entretuvo en el aula después de que terminaran las clases.
You must not speak so loudly here.,No debes hablar tan fuerte aquí.
I'm just joking.,Solo bromeo.
Tom's new girlfriend is very young.,La nueva novia de Tom es muy joven.
Where's your passport?,¿Dónde tienes el pasaporte?
Tom is hiding under the bed.,Tom se está escondiendo debajo de la cama.
You've got nice legs.,Tienes unas bonitas piernas.
You seem to be drunk.,Pareces estar bebido.
How long will you have to stay in Boston?,¿Cuánto tiempo se va a tener que quedar en Boston?
Tom had a lot of time to think about the problem.,Tom tenía mucho tiempo para pensar en el problema.
It works pretty well here.,Funciona bastante bien aquí.
Tell me who else knows about this.,Dime quién más sabe acerca de esto.
Please listen.,Por favor escuchá.
I know who you are.,Sé quién eres.
Can you solve this puzzle?,¿Puedes resolver este acertijo?
We want it to be a surprise.,Queremos que sea una sorpresa.
You're ugly.,Eres fea.
Hawking went back to his studies.,Hawking volvió a sus estudios.
This palace was built for the rich king.,Este palacio fue construido para el opulento rey.
"If you have gum in your mouth, spit it out.","Si tienes chicle en la boca, escúpelo."
Do you want fruit juice?,¿Quieren un jugo de fruta?
Do you mind if I turn off the light?,¿Le importa si apago la luz?
My mother bakes bread and cookies on weekends.,Mi madre hornea pan y galletas los fines de semana.
We're coming.,Vamos a ir.
You have to be prepared.,Tienes que estar preparado.
It was only a bad dream.,Fue solo una pesadilla.
"When I opened the door, Tom was standing there wearing a suit.","Cuando abrí la puerta, Tom estaba parado ahí en un traje."
I usually have dinner at seven.,Habitualmente ceno a las siete.
Almost all the students believed the rumor.,Casi todos los estudiantes se creyeron el rumor.
My train left at 7 and arrived in New York at 10.,Mi tren salió a las siete y llegó a Nueva York a las diez.
Are you bored here?,¿Estás aburrido aquí?
Tom is spraying his garden.,Tom está regando su jardín.
You may look.,Pueden mirar.
There's no coffee left.,No hay más café.
"A coke, please.",Una Coca-Cola por favor.
I'm looking for somebody who understands French.,Busco a alguien que entienda francés.
Who is your dance partner?,¿Quién es tu pareja de baile?
I recommend you to go by train.,Te recomiendo ir en tren.
Is it true that you gamble?,¿Es verdad que apuestas?
The first step is always the hardest.,El primer paso siempre es el más difícil.
There are about 80 different species of mangrove trees.,Hay aproximadamente 80 diferentes clases de árboles de mangle.
Put it back.,Regrésalo.
Tom was better.,Tom estaba mejor.
"Yes, we can go.","Sí, podemos ir."
Why are you asking all these questions?,¿Por qué me haces todas estas preguntas?
Are antibiotics sold over the counter in your country?,¿Se venden antibióticos sin receta en tu país?
That sounds reasonable.,Eso suena razonable.
She's forgotten how to do it.,Ha olvidado cómo hacerlo.
I'll do it first thing tomorrow morning.,Será lo primero que haga mañana en la mañana.
I want you to understand what I'm trying to say.,Quiero que entiendas lo que estoy tratando de decir.
Both his parents are dead.,Sus padres están muertos.
Shame on you.,¡Ten vergüenza!
Please fix this.,"Por favor, arreglad esto."
Hand me the remote.,Pásame el mando a distancia.
Paper production remained a state secret for a long time.,"La fabricación de papel fue durante mucho tiempo, un secreto de Estado."
The boy came back.,El niño volvió.
Hurry up.,Daos prisa.
The grass is always greener on the other side of the fence.,El pasto del vecino es más verde.
We supported Tom.,Apoyamos a Tom.
I know what's at stake.,Yo sé lo que está en juego.
I like to be spontaneous.,Me gusta ser espontáneo.
I'm waiting for the store to open.,Estoy esperando que la tienda abra.
I thought we had an agreement.,Pensé que teníamos un acuerdo.
Best of luck to you.,Que tengas suerte.
I'm not able to do it.,No soy capaz de hacerlo.
I'm already late.,Ya estoy atrasado.
I shouldn't have said the things that I said to you.,No debería haber dicho las cosas que te dije.
"I had a good time, too.",Yo también pasé un buen rato.
We partied all night long.,Festejamos toda la noche.
They had a lovely time together.,Ellos pasaron un tiempo maravilloso juntos.
I fell asleep in the middle of the lecture.,Me quedé dormido en medio de la clase.
He bowed to me as he left the room.,Él me hizo una reverencia al salir de mi cuarto.
I shouldn't have eaten the whole bag of potato chips.,No debí haberme comido la bolsa entera de papas fritas.
We're scared.,Estamos asustados.
His life hangs on the judge's decision.,Su vida depende de la decisión del juez.
I probably should have said something.,Posiblemente debería haber dicho algo.
They speak English and French in Canada.,En Canadá hablan inglés y francés.
I made fun of him.,Me burlé de él.
Tom was bedridden at that time.,Tom estaba postrado en cama en ese período.
Let's try that.,Hagámoslo.
She received the electricity bill today.,Ella recibió la cuenta de la luz hoy.
Consider me your friend.,Considérenme su amigo.
It's time for us to go to bed.,Es hora de que vayamos a la cama.
My computer doesn't work anymore.,Mi ordenador ya no funciona.
They were eating.,Comían.
These are the new ones.,Estos son los nuevos.
He explained why the experiment failed.,Él explicó por qué el experimento fracasó.
The old shack seems to have weathered the storm pretty well.,La vieja choza parece haber resistido la tormenta bastante bien.
I don't want Tom to think anything's wrong.,No quiero que Tom piense que algo anda mal.
I'll send you a message.,Os mandaré un mensaje.
Where's my wallet?,¿Dónde está mi billetera?
"She didn't come to the party, but nobody knows why.",Ella no vino a la fiesta pero nadie sabe por qué.
How much money is left?,¿Cuánto dinero queda?
Give me one kilogram of peaches.,Deme un kilo de melocotones.
Our world is getting smaller and smaller.,Nuestro mundo se está haciendo cada vez más pequeño.
It's shameful to treat a child so cruelly.,Es vergonzoso tratar tan cruelmente a un niño.
Who's your favorite movie director?,¿Quién es tu director de cine preferido?
He walked ahead of me.,Él iba caminando por delante mío.
How embarrassing for us all.,Qué bochorno para todos nosotros.
Don't treat me as if I were a child.,No me trates como si fuese un niño.
I just got married.,Me acabo de casar.
I informed her of my arrival.,Yo le informé de mi llegada.
We lived in the country for many years.,Vivimos durante muchos años en el campo.
Students should make use of the books in the library.,Los estudiantes deberían utilizar los libros de la biblioteca.
These green leaves turn red or yellow in autumn.,Estas hojas verdes se vuelven rojas o amarillas en otoño.
She was married to a rich man.,Estaba casada con un millonario.
Tom dropped a dish and it broke.,A Tom se le cayó un plato y se rompió.
You lied to me again.,Me mentiste otra vez.
I like the blue one. How much does it cost?,Me gusta el azul. ¿Cuánto cuesta?
Tom keeps every letter his mother sends him.,Tom guarda todas las cartas que su madre le manda.
He lost all of his money.,Perdió todo su dinero.
I'm at the beach on holiday.,Estoy de vacaciones en la playa.
"In the woods, she met with two strangers.",Ella se encontró con dos extraños en el bosque.
What's this thing?,¿Qué es esta cosa?
It took me a long time to get used to doing it this way.,Me llevó mucho tiempo acostumbrarme a hacer esto así.
I know it's a hard thing to do.,Sé que es algo difícil de hacer.
Rich mineral deposits have been discovered recently in Afghanistan.,Recientemente se han descubierto depósitos ricos en minerales en Afganistán.
I really should leave.,Realmente debería salir.
Tom is the only Canadian I know.,Tom es el único canadiense que conozco.
The arsonist was never apprehended.,Nunca apresaron al pirómano.
Write a poem with three four-line stanzas.,Escriba un poema con tres estrofas de cuatro líneas.
He received more than six million votes.,Él recibió más de seis millones de votos.
I loved lollipops when I was little.,De pequeña me encantaban las piruletas.
Tom came closer.,Tom se acercó.
Are you referring to me?,¿Te estás refiriendo a mí?
It's a waste of time to study when you're sleepy.,Es una pérdida de tiempo estudiar con sueño.
Where's the restroom?,¿Dónde está el baño?
You have a problem there.,Tienes un problema ahí.
I can't help thinking of the future.,No puedo evitar pensar en el futuro.
"Which one do you want, this one or that one?","¿Cuál quieres, éste o aquél?"
They have already begun.,Ya han empezado.
I don't want to know.,No quiero saberlo.
Let's just say that I wasn't surprised.,Digamos que no me sorprendí.
I don't have to prove myself to anybody.,No tengo que demostrar mi valía ante nadie.
Paraguay is a country in South America.,Paraguay es un país de Sudamérica.
Do your work in your own way.,Haz el trabajo como creas conveniente.
I love to travel with my friends.,Me encanta ir de viaje con mis amigos.
Do you have a big family?,¿Tienes una familia grande?
Please calm down.,"Por favor, tranquilícese."
There are no examples.,No hay ejemplos.
Wait here till he comes back.,Espera aquí hasta que él regrese.
"Don't worry, your illness isn't contagious.","No te preocupes, su enfermedad no es contagiosa."
I've seen dolphins smarter than you.,He visto delfines más inteligentes que tú.
I'm an adult.,Soy adulta.
Both of us began to smile almost at the same time.,Los dos sonreímos casi al mismo tiempo.
Give me three pieces of chalk.,Deme tres trozos de tiza.
Do you come here every day?,¿Vienes aquí todos los días?
Tom ate.,Tom comió.
They went on an expedition to the Antarctic.,Ellos fueron en una expedición a la Antártida.
I have eaten a lot this morning.,He comido mucho esta mañana.
I couldn't get Tom to wake up.,No pude despertar a Tom.
She worked hard.,Ella trabajó duro.
She always works hard.,Ella siempre trabaja mucho.
A bow is no use without arrows.,Un arco no sirve de nada sin flechas.
Maybe we could make a deal.,Quizás podamos hacer trato.
"Sometimes, boredom can be more oppressive than pain.","A veces, el aburrimiento puede ser más oprimente que el dolor."
Coffee is Brazil's main product.,El café es el principal producto brasilero.
I haven't put on that much weight.,No he cogido tanto peso.
I'm sorry you got dragged into this.,Lamento que hayas resultado involucrado en esto.
Get up.,Levanta.
Adolescence is often a period of insecurity.,La adolescencia es usualmente un periodo de inseguridad.
Honesty is a virtue.,La honestidad es una virtud.
I'm feeling a little blue today.,Me siento un poco triste hoy.
I began to study French when I was thirteen years old.,Comencé a estudiar francés cuando tenía trece años.
How many books are there on the table?,¿Cuántos libros hay en la mesa?
You must not do it now.,No debes hacerlo ahora
Tom pulled a delicious-looking pizza out of the oven.,Tom sacó una pizza que se ve deliciosa del horno.
Tom is a referee.,Tom es árbitro.
Tom hopes to see you in October.,Tom espera verte en octubre.
How many people are there in your family?,¿Cuántas personas hay en tu familia?
Everyone will be there.,Todos van a estar ahí.
"Look, I don't want to do anything to screw it up with Tom.","Mira, no quiero hacer nada para cagarla con Tom."
May I have a program?,¿Tendría un programa para mí?
I don't think you should call Tom.,No creo que debas llamar a Tom.
I feel helpless.,Me siento inútil.
I don't want them.,No los quiero.
Tom really likes his new job.,A Tom le gusta realmente su nuevo trabajo.
Tom didn't think it was funny.,Tom no pensaba que era divertido.
Tom is a successful lawyer.,Tom es un abogado exitoso.
I'm looking at those flowers.,Estoy mirando estas flores.
This is why I hate him.,Por eso lo odio.
A spoonful of sugar helps the medicine go down.,Una cucharada de azúcar ayuda a bajar la medicina.
I'll stay at home if it rains tomorrow.,"Si mañana llueve, me quedaré en casa."
Don't you want to swim today?,¿No quieres nadar hoy?
How's your family?,¿Cómo le va a tu familia?
Who taught you to tango?,¿Quién te enseñó tango?
I probably would've done the same thing.,"Probablemente, yo habría hecho lo mismo."
Empty the water out of the bucket.,Vacía el agua del balde.
This kind of work is very dangerous.,Este tipo de trabajo es muy peligroso.
Women loved it.,A las mujeres les encantaba.
Tom is having fun.,Tom la está pasando bien.
Divide the candles among you.,Dividan las velas entre ustedes.
Get it out of the house.,Sáquelo de la casa.
Don't eat too much candy.,No comas demasiados dulces.
Tom is studying hard.,Tom está estudiando mucho.
Tom hates it when Mary asks him to explain the same thing more than once.,Tom odia que Mary le pida que explique la misma cosa más de una vez.
The problem is we don't know anything.,El problema es que nosotros no sabemos nada.
I'm getting tired. It's your turn to drive.,Me estoy cansando. Es tu turno de conducir.
He responded to her offer with a laugh.,Él respondió a la proposición de ella riéndose.
We have dinner at seven.,Nosotros cenamos a las siete.
I hate it when people make fun of my accent.,Odio cuando la gente se burla de mi acento.
Nobody lives here.,Aquí no vive nadie.
Tom has too much work to do.,Tom tiene mucho trabajo para hacer.
She's my friend.,Es mi amiga.
I haven't slept in days.,No he dormido en días.
Is there a photo shop in the hotel?,¿Hay alguna tienda fotográfica en el hotel?
Tom is a very busy man.,Tom es un hombre muy ocupado.
Did you like Tom?,¿Te gustaba Tom?
She got very angry with her children.,Se enfadó mucho con sus hijos.
The telephone is broken.,El teléfono está roto.
Come up here.,Venid aquí arriba.
Didn't you know that Tom had relatives in Australia?,¿No sabías que Tom tenía parientes en Australia?
I ran a race with Tom.,Corrí una carrera con Tom.
Forests cover around 9.4% of the earth's surface.,"Alrededor de un 9,4% de la superficie de la Tierra está cubierta por bosques."
It is important for me.,Es importante para mí.
"We have something special for you, sir.","Tenemos algo especial para usted, señor."
The eagle is about to land.,El águila está a punto de aterrizar.
Tom caught a wolf and tried to tame it.,Tom capturó un lobo y trató de domesticarlo.
She told everybody at work.,Ella le contó a todos en el trabajo.
I know that this is important for us all.,Sé que esto es importante para nosotros.
The sun was shining brightly.,El sol brillaba.
The movie that Tom and Mary watched together had a happy ending.,La película que Tom y Mary vieron juntos tuvo un final feliz.
Tom bought a pistol.,Tom compró una pistola.
We've got a problem.,Tenemos un problema.
Does he know that you love him?,¿Sabe él que tú lo amas?
I think it's time for me to show you how to do that properly.,Creo que es hora de que te enseñe cómo se hace bien.
I opened a bottle of red wine.,Abrí una botella de vino tinto.
I have my own bedroom at home.,Tengo mi dormitorio propio en casa.
The town where I was born is beautiful.,La ciudad en que nací es muy bonita.
Go away!,¡Vete de aquí!
Barking dogs seldom bite.,"Perro ladrador, poco mordedor."
How did you get in my house?,¿Cómo te metiste en mi casa?
She has no figure.,No tiene tipo.
I failed.,Fallé.
I love French movies.,Me encantan las películas francesas.
Do you like tennis?,¿Os gusta el tenis?
"It's your turn, Tom.","Es tu turno, Tom."
This is all a big misunderstanding.,Todo esto es un gran malentendido.
I dedicate this book to my daughter.,Le dedico este libro a mi hija.
"When I got home, I realized that one of my suitcases had disappeared.",Cuando llegué a casa me di cuenta de que una de mis maletas había desaparecido.
Maybe she knows the answer.,Quizá ella sepa la respuesta.
I believe in ghosts.,Yo creo en los fantasmas.
Tom told us that he had a headache.,Tom nos dijo que le dolía la cabeza.
The sink is full of dirty dishes.,El fregadero está lleno de platos sucios.
We were all so hungry.,Estábamos todos muy hambrientos.
I don't want to take any pictures.,No quiero sacar fotos.
The gasoline truck ran into the gate and blew up.,El camión de combustible se estrelló contra la puerta y estalló.
I have to get used to it.,Debo acostumbrarme a ello.
I don't want to tell Tom the truth.,No quiero decirle a Tom la verdad.
"I was born yesterday, and will die tomorrow.","Nací ayer, moriré mañana."
We're desperate.,Estamos desesperados.
I think it's time for me to wash this shirt.,Creo que es hora de que lave esta camisa.
I'd like to know what you're doing.,Me gustaría saber qué estás haciendo.
This bird can't fly.,Este pájaro no sabe volar.
I met her in London for the first time.,Me encontré con ella por primera vez en Londres.
Whose idea was it to fire Tom?,¿De quién fue la idea de despedir a Tom?
I couldn't understand a word Tom said.,No logré entender ni una palabra de lo que dijo Tom.
Could you put these in a box?,¿Podrías poner estas en una caja?
That'll do.,Eso me vale.
Do you have one?,¿Tienes uno?
She advised him to visit that museum.,Le aconsejó que visitara ese museo.
He is about to leave.,Está a punto de irse.
"Believe it or not, this woman has three kids.","Lo creas o no, esta mujer tiene tres hijos."
Who gave you permission to do this?,¿Quién te ha dejado hacer esto?
The boss will be angry at me.,El jefe va a enfadarse conmigo.
The sum of our errors is called experience.,Se llama experiencia a la suma de nuestros errores.
It is necessary for you to go there.,Es necesario que vayas ahí.
Nobody remembers.,Nadie recuerda.
You're a funny girl.,Eres una niña divertida.
My book is here.,Mi libro está aquí.
I needed help.,Yo necesité ayuda.
Allow me to accompany you.,Permítame acompañarlo.
Tom and I have some classes together.,Tom y yo tenemos algunas clases juntos.
Didn't Tom want to talk to Mary?,¿Tom no quería hablar con Mary?
"If you want this pen, I'll lend it to you.","Si quieres este bolígrafo, te lo dejo."
Have you been told where to park your car?,¿Te dijeron dónde puedes estacionar tu coche?
Trust me.,Confía en mí.
I've seen Tom at work.,He visto a Tom en el trabajo.
Tom wants a dozen eggs.,Tom quiere una docena de huevos.
Tom sat two rows ahead of me.,Tom se sentó dos filas por delante de mí.
This song reminds me of someone.,Esta canción me trae recuerdos de alguien.
I often think about the place where I met you.,Suelo pensar en el lugar donde te conocí.
"Would you come with me, please?",¿Vendrías conmigo?
"I don't want you to do that, Tom.","No quiero que hagas eso, Tom."
Close the safe.,¡Cierra la caja fuerte!
The notice was badly printed.,El anuncio estaba mal impreso.
I'll show you what to do.,Te indicaré qué hacer.
When did your sister leave Tokyo for London?,¿Cuándo se fue tu hermana de Tokio a Londres?
It was a heartbreaking story.,Era una historia desconsoladora.
You're under arrest for the murder of Tom Jackson.,Quedas arrestado por el asesinato de Tom Jackson.
I'll wait here until she comes.,Esperaré aquí hasta que ella venga.
Brush your teeth after each meal.,Cepíllate los dientes después de cada comida.
When are you going to Europe?,¿Cuándo vas a ir a Europa?
It's very popular.,Es muy popular.
I like having lots of things to do.,Me gusta tener muchas cosas que hacer.
"For the record, we're just friends.","Para que sepan, solo somos amigos."
Tom asked Mary how John was doing.,Tom preguntó a Mary cómo le iba a John.
Help me learn how to drive.,Ayúdame a aprender a conducir.
We have a kumquat tree in our yard.,Tenemos un árbol de quinotos en nuestro patio.
I need a little help.,Necesito un poco de ayuda.
Tom doesn't trust anyone.,Tom no confía en nadie.
I've done many things I shouldn't have.,He hecho muchas cosas que no debería haber hecho.
Tom usually keeps things to himself.,Usualmente Tom se deja sus asuntos para sí mismo.
I have work on Wednesday.,Tengo trabajo el miércoles.
I know that you don't love me.,Sé que no me quieres.
She liked poetry and music.,A ella le gustaban la poesía y la música.
I hate being alone on Valentine's Day.,Odio pasar el día de San Valentín solo.
Tom isn't an accountant.,Tom no es contador.
They armed the people.,Armaron al pueblo.
Tom rode the horse bareback.,Tom montó el caballo sin silla de montar.
He's always busy.,Siempre está ocupado.
Tom couldn't find anyone to help him.,Tom no pudo encontrar a nadie que lo ayudara.
We're just about to run out of time.,Está a punto de acabársenos el tiempo.
Is it true that you complained to the principal?,¿Es cierto que te quejaste con el director?
Tom is planning a trip.,Tomás está planificando un viaje.
What do you do after school?,¿Qué haces después de clase?
Tom didn't have enough experience to know what to do.,Tom no tenía suficiente experiencia para saber qué hacer.
Are you happy now?,¿Ahora eres feliz?
Tom can ski as well as his brother.,Tom esquía tan bien como su hermano.
Can I pet your cat?,¿Puedo acariciar a tu gato?
"I feel your pain, buddy.","Siento tu dolor, socio."
He hasn't written them a letter in a long time.,Hace mucho tiempo que él no les escribe ninguna carta.
The doctor examined the patient.,El médico examinó al paciente.
He waited for several seconds and opened the door.,Él esperó unos segundos y abrió la puerta.
The vase fell from the table and crashed to pieces.,El florero se cayó de la mesa y se hizo añicos.
Where's the loo?,¿Dónde está el servicio?
I wish I could swim.,Desearía poder nadar.
He grows rice.,Él cultiva arroz.
My son believes in Santa Claus.,Mi hijo cree en Papá Noel.
We'll get through this together.,Superaremos esto juntos.
Tom doesn't want to argue with Mary.,Tom no quiere discutir con Mary.
The bus had already left when I got to the bus stop.,El bus ya había salido para cuando yo llegué a la parada.
Nobody believes what I say.,Nadie se cree lo que digo.
We decided to lie hidden for a few days.,Decidimos seguir ocultos durante dos o tres días mas.
Write it in pencil.,Escríbelo a lápiz.
Tom will need some support.,Tom va a necesitar algo de apoyo.
I told a joke.,Yo conté un chiste.
Somebody is playing the piano.,Alguien está tocando el piano.
You're incredibly talented.,Son increíblemente talentosos.
You might want to talk to Tom.,Tal vez quieras hablar con Tom.
I want to see your boss.,Quiero ver a vuestro jefe.
Tom paid for the tickets.,Tom pagó las entradas.
I promise you I'll help you.,Prometo ayudarte.
He studied for ten years.,Él estudió por diez años.
Keep your guard up.,¡Ponte en guardia!
We've got to find Tom before he does something stupid.,Debemos encontrar a Tom antes de que haga algo estúpido.
I don't think that this is how it's done.,No creo que así sea como se hace.
We always walk by the post office on the way to work.,Siempre pasamos por la oficina de correos de camino al trabajo.
You don't have to do what Tom says.,No tienes que hacer lo que diga Tom.
He is in trouble now.,Él está ahora metido en un lío.
Your questions were too direct.,Tus preguntas fueron muy directas.
It is very hard to tell what country a person comes from.,Es muy difícil adivinar de qué país viene una persona.
I should eat something.,Debería comer algo.
How well do you know this area?,¿Cómo de bien conoces esta zona?
You didn't help me.,No me ayudaste.
How old is your boyfriend?,¿Cuántos años tiene tu novio?
I am very glad to hear of your success.,Me alegra mucho escuchar lo bien que te ha ido.
What's so funny?,¿Qué es tan gracioso?
This isn't exactly what I wanted.,Eso no es exactamente lo que yo quería.
I'm first.,Voy el primero.
It is sometimes hard to tell right from wrong.,Distinguir lo correcto de lo incorrecto es difícil a veces.
She goes to school on foot.,Ella va al colegio a pie.
Your answer is right.,Su respuesta es correcta.
Let's hope we never have to do this again.,Esperemos que nunca tengamos que hacer esto de nuevo.
What a waste of energy!,¡Qué despilfarro de energía!
"It would be nice to own one of those, wouldn't it?","Estaría bien tener una de esas, ¿a que sí?"
That's cool.,Es guay.
"During that month, he had no money on which to live.",Para mantenerse durante aquel mes no tenía dinero.
Jump over the ditch.,Salta sobre la zanja.
That tie goes well with your shirt.,Esa corbata va bien con tu camisa.
Watch out for the cat.,Cuidado con el gato.
I like eating cake.,Me gusta comer tarta.
I am not accustomed to walking long distances.,No estoy acostumbrado a caminar largas distancias.
"To my surprise, there were no people in the village.","Para mi sorpresa, no había gente en la aldea."
Choose one from among these.,Elige uno de entre estos.
Everyone needs to know this.,Todo el mundo tiene que saber esto.
There's some milk in the fridge.,Hay leche en el refrigerador.
School begins at 8:30 a.m.,El colegio empieza a las 8 y media.
He had a blue jacket on.,Él llevaba una chaqueta azul.
She drank two glasses of wine at the party.,Ella se bebió dos vasos de vino en la fiesta.
She has always done her best to make their life easier.,Ella siempre había dado lo mejor para hacerle más fácil la vida de ellos.
Did I win?,¿Yo gané?
I do not like wearing anybody else's clothes.,No me gusta usar la ropa de otras personas.
She took off her coat.,Ella se quitó el abrigo.
I can't believe Tom would just give up.,No puedo creer que Tom simplemente se vaya a dar por vencido.
They kept quiet so that they would not be found.,Guardaron silencio para no ser encontrados.
Do you go to an elementary school?,¿Vas a una escuela básica?
I know him only by name.,Yo a él sólo lo conozco de nombre.
Don't leave the key in the lock.,No dejes la llave en la cerradura.
I wonder why she is so worried.,Me pregunto por qué ella está tan preocupada.
Kyoto is the former capital of Japan.,Kioto es la antigua capital de Japón.
She plays tennis after school every day.,Ella juega al tenis todos los días después de la escuela.
"As is often the case with young men, he does not pay much attention to his health.","Como es frecuente en los hombres jóvenes, él no presta mucha atención a su salud."
Nobody understands.,Nadie entiende.
